CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
58250,Saint-Léger-des-Vignes,862,1873.5,19656.1111111111,,,,,,,,,,,,,,,,,,,,,,,,
58251,Saint-Loup,208,471.5,21444,,,,,,,,,,,,,,,,,,,,,,,,
58252,Saint-Malo-en-Donziois,70,129,20408,,,,,,,,,,,,,,,,,,,,,,,,
58253,Sainte-Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,
58254,Saint-Martin-d'Heuille,243,597,22928.0952380952,,,,,,,,,,,,,,,,,,,,,,,,
58255,Saint-Martin-du-Puy,140,255,19299.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58256,Saint-Martin-sur-Nohain,170,383.5,18992,,,,,,,,,,,,,,,,,,,,,,,,
58257,Saint-Maurice,,,,,,,,,,,,,,,,,,,,,,,,,,,
58258,Saint-Ouen-sur-Loire,207,526.5,21104,,,,,,,,,,,,,,,,,,,,,,,,
58259,Saint-Parize-en-Viry,68,142,16678.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58260,Saint-Parize-le-Châtel,542,1286.5,21701.9047619048,,,,,,,,,,,,,,,,,,,,,,,,
58261,Saint-Père,525,1164,20436,,,,,,,,,,,,,,,,,,,,,,,,
58262,Saint-Péreuse,112,231,19340.5,,,,,,,,,,,,,,,,,,,,,,,,
58263,Saint-Pierre-du-Mont,77,176.5,19965,,,,,,,,,,,,,,,,,,,,,,,,
58264,Saint-Pierre-le-Moûtier,873,1723,17942.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58265,Saint-Quentin-sur-Nohain,51,99,22140.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58266,Saint-Révérien,91,162,18120.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58267,Saint-Saulge,325,634.5,19585,,,,,,,,,,,,,,,,,,,,,,,,
58268,Saint-Seine,95,198,17628.2407407407,,,,,,,,,,,,,,,,,,,,,,,,
58269,Saint-Sulpice,185,408,21102.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58270,Saint-Vérain,162,333.5,19643.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58271,Saizy,54,110,17612.5,,,,,,,,,,,,,,,,,,,,,,,,
58272,Sardy-lès-Épiry,56,112,17709.4444444444,,,,,,,,,,,,,,,,,,,,,,,,
58273,Sauvigny-les-Bois,617,1462.5,22777,,,,,,,,,,,,,,,,,,,,,,,,
58274,Savigny-Poil-Fol,50,105,14784,,,,,,,,,,,,,,,,,,,,,,,,
58275,Saxi-Bourdon,131,285.5,18445.5555555556,,,,,,,,,,,,,,,,,,,,,,,,
58276,Sémelay,119,228,16488.8,,,,,,,,,,,,,,,,,,,,,,,,
58277,Sermages,91,188,18891.9166666667,,,,,,,,,,,,,,,,,,,,,,,,
58278,Sermoise-sur-Loire,632,1493,22065.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58279,Sichamps,75,188,19266,,,,,,,,,,,,,,,,,,,,,,,,
58280,Sougy-sur-Loire,271,624.5,21440,,,,,,,,,,,,,,,,,,,,,,,,
58281,Suilly-la-Tour,277,618.5,19492.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58282,Surgy,198,357.5,20424.2857142857,,,,,,,,,,,,,,,,,,,,,,,,
58283,Taconnay,,,,,,,,,,,,,,,,,,,,,,,,,,,
58284,Talon,,,,,,,,,,,,,,,,,,,,,,,,,,,
58285,Tamnay-en-Bazois,88,156.5,18334,,,,,,,,,,,,,,,,,,,,,,,,
58286,Tannay,306,571.5,19094,,,,,,,,,,,,,,,,,,,,,,,,
58287,Tazilly,95,204,16800,,,,,,,,,,,,,,,,,,,,,,,,
58288,Teigny,,,,,,,,,,,,,,,,,,,,,,,,,,,
58289,Ternant,78,155,19204.7619047619,,,,,,,,,,,,,,,,,,,,,,,,
58290,Thaix,,,,,,,,,,,,,,,,,,,,,,,,,,,
58291,Thianges,75,157.5,21191.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58292,Tintury,85,173,19632.7471264368,,,,,,,,,,,,,,,,,,,,,,,,
58293,Toury-Lurcy,188,408.5,18171.4285714286,,,,,,,,,,,,,,,,,,,,,,,,
58294,Toury-sur-Jour,55,112,18231.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58295,Tracy-sur-Loire,446,982.5,20842.7777777778,,,,,,,,,,,,,,,,,,,,,,,,
58296,Tresnay,64,137,18994.2857142857,,,,,,,,,,,,,,,,,,,,,,,,
58297,Trois-Vèvres,104,241.5,19388.5714285714,,,,,,,,,,,,,,,,,,,,,,,,
58298,Tronsanges,170,393.5,20838.4,,,,,,,,,,,,,,,,,,,,,,,,
58299,Trucy-l'Orgueilleux,117,229.5,18430.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58300,Urzy,726,1704,22132.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58301,Vandenesse,158,326.5,17733,,,,,,,,,,,,,,,,,,,,,,,,
58302,Varennes-lès-Narcy,372,853,20453,,,,,,,,,,,,,,,,,,,,,,,,
58303,Varennes-Vauzelles,4347,9083.5,20801.3333333333,54,10,,16,16,,,,5,22,59.2,52.8,2.4,4.1,43,9,5,1.7,1.9,1.3,-16.2,12434.2857142857,33191,2.66931295955882
58304,Varzy,514,1002.5,18380.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
58305,Vauclaix,55,119,21715.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
58306,Verneuil,119,286,17570.4,,,,,,,,,,,,,,,,,,,,,,,,
58307,Vielmanay,72,161,20750,,,,,,,,,,,,,,,,,,,,,,,,
58308,Vignol,,,,,,,,,,,,,,,,,,,,,,,,,,,
58309,Villapourçon,221,393.5,17664.5,,,,,,,,,,,,,,,,,,,,,,,,
58310,Villiers-le-Sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
58311,Ville-Langy,120,255.5,19406,,,,,,,,,,,,,,,,,,,,,,,,
58312,Villiers-sur-Yonne,128,273.5,21027,,,,,,,,,,,,,,,,,,,,,,,,
58313,Vitry-Laché,50,87,16100,,,,,,,,,,,,,,,,,,,,,,,,
59001,Abancourt,182,477,22772,,,,,,,,,,,,,,,,,,,,,,,,
59002,Abscon,1758,4349,17482.4,32,21,,,29,,,,10,36,69.3,62.4,3.8,3.1,27.7,4.7,9.7,3.7,3.4,2.6,-11.4,10162,28072.6666666667,2.7625139408253
59003,Aibes,135,366.5,17514.347826087,,,,,,,,,,,,,,,,,,,,,,,,
59004,Aix-en-Pévèle,435,1210.5,25532.2222222222,,,,,,,,,,,,,,,,,,,,,,,,
59005,Allennes-les-Marais,1319,3511.5,22984.7619047619,61,,,,,,,,,,83.5,76,2.6,4.9,23.8,5.3,3.4,2.1,0.8,0.5,-16,14513.5,36211.3333333333,2.49501039262296
59006,Amfroipret,81,229.5,24859.5,,,,,,,,,,,,,,,,,,,,,,,,
59007,Anhiers,326,912,19648.6956521739,,,,,,,,,,,,,,,,,,,,,,,,
59008,Aniche,3743,9876.5,15798.9655172414,30,28,41,34,34,25,16,,13,45,65,58.2,3.9,3,26.6,4.8,14.6,5.3,5.3,3.9,-11,9172.22222222222,26508.0487804878,2.89003560296051
59009,Villeneuve-d'Ascq,22728,55329.5,19900.4166666667,50,19,31,25,22,17,11,7,5,32,77.9,69.9,3.3,4.7,22.8,9.3,7.9,2.9,2.8,2.2,-17.9,10048.8,39092.2222222222,3.89023786145831
59010,Anneux,101,263.5,20864.7619047619,,,,,,,,,,,,,,,,,,,,,,,,
59011,Annoeullin,3888,9739.5,21040.3333333333,50,11,,14,12,10,,,6,26,78.7,71.7,2.9,4,25.4,5.8,5.6,2.6,1.8,1.2,-15.5,11995,34684.6666666667,2.89159371960539
59012,Anor,1218,3098,17072,34,27,,,33,,,,16,53,63.6,55.1,3.6,5,31.1,7.1,10.4,3.8,4.2,2.5,-12.2,9220.4347826087,27292,2.95994718724949
59013,Anstaing,535,1417,24253,,,,,,,,,,,,,,,,,,,,,,,,
59014,Anzin,5383,12842.5,14963.3333333333,29,34,45,36,43,32,23,,18,45,62.2,54.9,4.5,2.8,27.2,4.1,17.2,4.9,7.4,4.9,-10.7,8921.48148148148,25360.9523809524,2.84268396830669
59015,Arleux,1269,3069.5,19845.3333333333,42,13,,,,,,,,26,73.6,64,3.2,6.3,27.3,5.6,7.1,2.6,2.9,1.6,-13.6,11561.3333333333,30864.6666666667,2.66964594625764
59016,Armbouts-Cappel,898,2291.5,22283.9285714286,61,,,,,,,,,,75.1,69.4,3,2.7,30.8,5.4,3.5,2,1,0.6,-14.8,13822.6666666667,33873.9130434783,2.45060622963333
59017,Armentières,10473,24430.5,17264,36,24,32,27,28,23,17,11,11,38,69.4,63,3.9,2.5,26.1,6.3,11.5,3.9,4.4,3.2,-13.3,9559,28674,2.99968615964013
59018,Arnèke,625,1522.5,19538.75,,,,,,,,,,,,,,,,,,,,,,,,
59019,Artres,382,980.5,22752,,,,,,,,,,,,,,,,,,,,,,,,
59021,Assevent,790,1772,19471.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
59022,Attiches,856,2287.5,24070.8333333333,64,,,,,,,,,,80,72.3,2.6,5.1,26.7,8,3.2,1.8,0.8,0.6,-17.9,14160,41529.2,2.93285310734463
59023,Aubencheul-au-Bac,207,508,21628.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
59024,Auberchicourt,1809,4391.5,18157.3333333333,37,19,,,24,,,,8,36,66.4,58.8,3.3,4.3,32.6,4.7,8.9,3.2,3.4,2.3,-12.6,10539,29272.380952381,2.7775292677086
59025,Aubers,640,1665.5,27613,,,,,,,,,,,,,,,,,,,,,,,,
59026,Aubigny-au-Bac,470,1192,20809,,,,,,,,,,,,,,,,,,,,,,,,
59027,Aubry-du-Hainaut,659,1683.5,23461.6,,,,,,,,,,,,,,,,,,,,,,,,
59028,Auby,2787,7154.5,16622.5806451613,32,24,,28,30,28,15,,11,38,63.4,57.8,3.9,1.7,30.7,3.5,13,4.5,4.9,3.5,-10.6,9795.71428571428,26501,2.70536677847455
59029,Auchy-lez-Orchies,562,1540,24980,,,,,,,,,,,,,,,,,,,,,,,,
59031,Audignies,134,373,23086,,,,,,,,,,,,,,,,,,,,,,,,
59032,Aulnoy-lez-Valenciennes,2684,6134,17952.6666666667,39,20,,26,22,21,,,9,36,66.9,60.8,3.4,2.8,31.7,6,8.9,2.8,3.5,2.6,-13.5,10232.6666666667,31162.8571428571,3.04542873895926
59033,Aulnoye-Aymeries,3836,8669.5,16544.8,33,24,41,34,28,20,13,,10,39,60.3,54.1,3.9,2.3,34.4,5,11.9,3.5,5,3.3,-11.6,9706.25,27382.6666666667,2.82113758317235
59034,Avelin,1042,2699.5,27384,69,,,,,,,,,,83.5,73.9,1.5,8.1,24.5,8.7,2.4,1.5,0.6,0.3,-19.1,15833.75,45515.6666666667,2.87459803689377
59035,Avesnelles,1068,2395,18500,43,18,,,,,,,,35,61,53.1,2.5,5.4,35.2,10.5,7.3,2.3,3.2,1.8,-14,10083.75,31913.3333333333,3.16482789967357
59036,Avesnes-sur-Helpe,1931,4068.5,14204,27,39,,54,47,37,,,,52,54.2,44.6,4.9,4.7,30.6,8.3,18.7,3.9,9.3,5.5,-11.8,8367.33333333334,26786,3.20125886383555
59037,Avesnes-les-Aubert,1468,3541.5,17599.3333333333,35,20,,,,,,,11,40,67.5,58.4,4.4,4.7,29.7,5.7,9,3.3,3.6,2.1,-11.9,10350,28110,2.71594202898551
59038,Avesnes-le-Sec,588,1495,20381.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
59039,Awoingt,289,838.5,22664,,,,,,,,,,,,,,,,,,,,,,,,
59041,Bachant,939,2235.5,17569,37,22,,,,,,,,41,66.4,59.6,4.3,2.5,30.6,5.1,9.5,3.3,3.9,2.3,-11.6,9671.90476190476,26962,2.78766185810645
59042,Bachy,637,1737,24915.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
59043,Bailleul,6245,14318.5,20994.347826087,52,11,20,14,12,10,,,5,21,71.1,63.6,2.8,4.7,30.3,8.1,5.5,2.2,2,1.3,-15,12244,33547,2.73987259065665
59044,Baisieux,1817,4749.5,24511.0714285714,63,5,,,,,,,,,81.4,75.9,2.2,3.3,24.1,7.6,3.6,2.1,0.8,0.6,-16.7,14662,39169.3333333333,2.67148638203065
59045,Baives,63,147.5,18107.037037037,,,,,,,,,,,,,,,,,,,,,,,,
59046,Bambecque,285,768.5,19319,,,,,,,,,,,,,,,,,,,,,,,,
59047,Banteux,127,324.5,18327.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
59048,Bantigny,189,504.5,22500,,,,,,,,,,,,,,,,,,,,,,,,
59049,Bantouzelle,161,419,18517,,,,,,,,,,,,,,,,,,,,,,,,
59050,Bas-Lieu,143,353,20600.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
59051,La Bassée,2793,6256,18819.4444444444,41,16,,16,19,,,,6,28,72.3,64.4,3.4,4.6,27.9,6,8,2.8,2.9,2.4,-14.2,10973.3333333333,29752.7777777778,2.71137100040502
59052,Bauvin,2115,5298.5,20364.6666666667,48,12,,,,,,,6,30,75.3,68.4,3.3,3.5,27.9,4.6,6.1,2.6,2.1,1.4,-13.9,11868.8461538462,31184.6666666667,2.62743878069067
59053,Bavay,1440,3363,18379.3333333333,42,21,,,24,,,,,35,65,55,3.1,6.8,32.1,9,8.6,2.8,3.5,2.3,-14.7,10248.5,31576,3.0810362492072
59054,Bavinchove,389,1008,20784,,,,,,,,,,,,,,,,,,,,,,,,
59055,Bazuel,230,532.5,17629.6153846154,,,,,,,,,,,,,,,,,,,,,,,,
59056,Beaucamps-Ligny,308,842,27237.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
59057,Beaudignies,237,585,20787.3913043478,,,,,,,,,,,,,,,,,,,,,,,,
59058,Beaufort,408,998.5,20893.3333333333,,,,,,,,,,,,,,,,,,,,,,,,
59059,Beaumont-en-Cambrésis,187,435,17834.7619047619,,,,,,,,,,,,,,,,,,,,,,,,
59060,Beaurain,82,231,19058.8888888889,,,,,,,,,,,,,,,,,,,,,,,,
59061,Beaurepaire-sur-Sambre,102,251,17675.5,,,,,,,,,,,,,,,,,,,,,,,,
59062,Beaurieux,63,154,22156.9565217391,,,,,,,,,,,,,,,,,,,,,,,,
59063,Beauvois-en-Cambrésis,833,2037,17952.1666666667,38,24,,,,,,,,46,66.1,57.6,4.7,3.8,31.4,5.7,9,3.3,3.5,2.2,-12.2,9939,27637.3333333333,2.78069557634906
59064,Bellaing,543,1235.5,19952,,,,,,,,,,,,,,,,,,,,,,,,
59065,Bellignies,334,817,20710.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
59066,Bérelles,58,135,22967.8260869565,,,,,,,,,,,,,,,,,,,,,,,,
59067,Bergues,1653,3407,19373.3333333333,49,15,,,,,,,,22,68.9,59.8,3.4,5.7,31.7,10.1,5.8,1.9,2.2,1.7,-16.5,10944,34285,3.1327668128655
59068,Berlaimont,1337,3035.5,18437.5,39,18,,,,,,,10,37,63.3,52.8,3.6,6.8,34.7,7.5,7.9,2.5,3.5,1.9,-13.4,10257.5,31609,3.08155008530344
